Gene,Components,Weights
ENSG00000001461,5,8.91E-05
ENSG00000001497,5,9.18E-05
ENSG00000002330,5,7.87E-05
ENSG00000002549,5,8.25E-05
ENSG00000002834,5,7.43E-05
ENSG00000003056,5,0.000105448
ENSG00000003147,5,-6.14E-05
ENSG00000003402,5,-7.01E-05
ENSG00000003509,5,-7.32E-05
ENSG00000004059,5,0.000158262
ENSG00000004139,5,0.000145177
ENSG00000004142,5,0.000106282
ENSG00000004455,5,0.000140256
ENSG00000004468,5,7.97E-05
ENSG00000004478,5,0.000157791
ENSG00000004487,5,0.000165742
ENSG00000004534,5,0.000120893
ENSG00000004660,5,-5.79E-05
ENSG00000004700,5,0.000103372
ENSG00000004766,5,8.83E-05
ENSG00000004777,5,-0.000110352
ENSG00000004779,5,-5.53E-05
ENSG00000005020,5,-0.000158584
ENSG00000005022,5,0.000128407
ENSG00000005075,5,-5.68E-05
ENSG00000005156,5,9.84E-05
ENSG00000005194,5,0.000122128
ENSG00000005302,5,-0.00010861
ENSG00000005339,5,-8.62E-05
ENSG00000005483,5,-9.46E-05
ENSG00000005700,5,0.000114932
ENSG00000005810,5,0.000103899
ENSG00000005889,5,-8.96E-05
ENSG00000006007,5,0.000103477
ENSG00000006062,5,0.000109571
ENSG00000006125,5,7.10E-05
ENSG00000006194,5,0.000154539
ENSG00000006555,5,0.000123167
ENSG00000006652,5,-9.06E-05
ENSG00000006712,5,0.000119956
ENSG00000006715,5,0.000134398
ENSG00000006744,5,0.000129288
ENSG00000006788,5,-5.64E-05
ENSG00000007047,5,-6.05E-05
ENSG00000007080,5,8.96E-05
ENSG00000007202,5,0.000121363
ENSG00000007237,5,-0.000120065
ENSG00000007255,5,9.35E-05
ENSG00000007312,5,0.000113319
ENSG00000007392,5,0.000104316
ENSG00000007516,5,-9.20E-05
ENSG00000007545,5,8.22E-05
ENSG00000007923,5,0.000172472
ENSG00000007944,5,-8.79E-05
ENSG00000007968,5,-7.64E-05
ENSG00000008018,5,0.000125535
ENSG00000008282,5,7.66E-05
ENSG00000008382,5,0.000145638
ENSG00000008394,5,-0.000109885
ENSG00000008441,5,-8.70E-05
ENSG00000008516,5,-7.25E-05
ENSG00000008710,5,0.000119933
ENSG00000008838,5,0.000141557
ENSG00000008853,5,0.00010701
ENSG00000008869,5,9.70E-05
ENSG00000008988,5,8.79E-05
ENSG00000009790,5,0.00012612
ENSG00000009954,5,9.02E-05
ENSG00000010017,5,-8.72E-05
ENSG00000010165,5,9.25E-05
ENSG00000010256,5,0.000125256
ENSG00000010278,5,-0.000107353
ENSG00000010292,5,0.000119106
ENSG00000010327,5,-5.78E-05
ENSG00000010610,5,8.88E-05
ENSG00000010704,5,-8.50E-05
ENSG00000010810,5,8.79E-05
ENSG00000011007,5,0.000120394
ENSG00000011114,5,-0.000112465
ENSG00000011132,5,0.000118951
ENSG00000011243,5,0.000152075
ENSG00000011260,5,7.35E-05
ENSG00000011304,5,7.99E-05
ENSG00000011422,5,0.000119961
ENSG00000011451,5,-6.33E-05
ENSG00000011454,5,0.00012739
ENSG00000011485,5,7.14E-05
ENSG00000011566,5,-5.36E-05
ENSG00000011638,5,-5.76E-05
ENSG00000012061,5,0.00010686
ENSG00000012779,5,-9.03E-05
ENSG00000012963,5,0.000104366
ENSG00000013275,5,0.000156367
ENSG00000013374,5,0.000130762
ENSG00000013583,5,7.25E-05
ENSG00000014257,5,-9.56E-05
ENSG00000014824,5,0.000105034
ENSG00000014919,5,7.85E-05
ENSG00000015285,5,-0.000113971
ENSG00000015475,5,8.72E-05
ENSG00000015532,5,7.63E-05
ENSG00000015676,5,0.000178207
ENSG00000016864,5,0.000112723
ENSG00000017260,5,9.95E-05
ENSG00000017483,5,-7.10E-05
ENSG00000018189,5,-9.15E-05
ENSG00000018280,5,-0.00010601
ENSG00000019102,5,-0.000105693
ENSG00000019169,5,0.000124956
ENSG00000019582,5,7.21E-05
ENSG00000019995,5,1.00E-04
ENSG00000020633,5,-5.70E-05
ENSG00000021355,5,-0.000112727
ENSG00000021776,5,0.000112797
ENSG00000022277,5,0.000138991
ENSG00000022840,5,-8.70E-05
ENSG00000022976,5,7.09E-05
ENSG00000023191,5,0.000161804
ENSG00000023318,5,0.00013608
ENSG00000023445,5,9.67E-05
ENSG00000023516,5,-5.26E-05
ENSG00000023839,5,-5.72E-05
ENSG00000023892,5,0.000147655
ENSG00000023909,5,-0.000127877
ENSG00000025039,5,-6.94E-05
ENSG00000025770,5,0.000124216
ENSG00000026025,5,0.000120511
ENSG00000026751,5,8.83E-05
ENSG00000026950,5,9.27E-05
ENSG00000027075,5,0.000153026
ENSG00000027697,5,-5.15E-05
ENSG00000029363,5,0.000140336
ENSG00000029725,5,0.000124251
ENSG00000029993,5,-8.45E-05
ENSG00000030110,5,0.000144006
ENSG00000031698,5,0.000153244
ENSG00000031823,5,8.27E-05
ENSG00000032219,5,-6.63E-05
ENSG00000033011,5,9.56E-05
ENSG00000033178,5,0.000116938
ENSG00000033327,5,-0.000111285
ENSG00000033627,5,9.49E-05
ENSG00000033800,5,0.00012061
ENSG00000034053,5,0.000101532
ENSG00000034152,5,-8.99E-05
ENSG00000034677,5,9.41E-05
ENSG00000035687,5,8.12E-05
ENSG00000035862,5,-0.000143399
ENSG00000036054,5,7.82E-05
ENSG00000037637,5,0.000107047
ENSG00000037749,5,-6.46E-05
ENSG00000037757,5,0.000105492
ENSG00000038219,5,-7.82E-05
ENSG00000038358,5,0.000112464
ENSG00000039123,5,0.000152034
ENSG00000039650,5,7.97E-05
ENSG00000040633,5,-8.19E-05
ENSG00000040933,5,7.14E-05
ENSG00000042062,5,-0.000132452
ENSG00000042088,5,0.000114542
ENSG00000042980,5,8.73E-05
ENSG00000043462,5,-0.00012651
ENSG00000044090,5,9.66E-05
ENSG00000044574,5,0.000111838
ENSG00000047249,5,9.27E-05
ENSG00000047315,5,0.000125924
ENSG00000047346,5,0.000110399
ENSG00000047365,5,0.000106658
ENSG00000047410,5,7.58E-05
ENSG00000047578,5,-8.70E-05
ENSG00000047644,5,-0.000120863
ENSG00000047932,5,0.000110246
ENSG00000048342,5,-6.86E-05
