,P1_I7_M1,P1_I7_M2,P1_I7_M3,P1_I7_M4,P1_I7_M5,P1_I7_M6,P1_I7_M7,P1_I7_M8,P1_I7_M9,P1_I7_M10,P1_I7_M11,P1_I7_M12,P1_I7_M13,P1_I7_M14,P1_I7_M15,P1_I7_M16,P1_I7_M17,P1_I7_M18,P1_I7_M19,P1_I7_M20,P2_I5_M1,P2_I5_M2,P2_I5_M3,P2_I5_M4,P2_I5_M5,P2_I5_M6,P2_I5_M7,P2_I5_M8,P2_I5_M9,P2_I5_M10,P2_I5_M11,P2_I5_M12,P2_I5_M13,P2_I5_M14,P2_I5_M15,P2_I5_M16,P3_I14_M1,P3_I14_M2,P3_I14_M3,P3_I14_M4,P3_I14_M5,P4_I6_M1,P4_I6_M2,P4_I6_M3,P4_I6_M4,P4_I6_M5,P4_I6_M6,P5_I4_M1,P5_I4_M2,P5_I4_M3,P5_I4_M4,P6_I9_M1,P6_I9_M2,P6_I9_M3,P7_I5_M1,P7_I5_M2,P7_I5_M3,P8_I4_M1,P8_I4_M2,P8_I4_M3,P8_I4_M4,P9_I5_M1,P10_I4_M1,P10_I4_M2,P11_I2_M1,P11_I2_M2,P12_I4_M1,P13_I2_M1
3469,834.4573170731708,0.4012738853503185,27747.6,10.862745098039216,25.426829268292682,3998.0298507462685,0.0,2.75,930.1578947368421,0.9130434782608695,2.1621621621621623,1.1515151515151516,1.121212121212121,4.151515151515151,341.57575757575756,0.8125,244.17857142857142,18.037037037037038,0.8846153846153846,131.0,1592.4473684210527,1523.6788990825687,841.1836734693877,1136.5277777777778,6725.638888888889,2.4571428571428573,0.6857142857142857,4.3,0.7142857142857143,0.8214285714285714,0.96,0.18181818181818182,0.23809523809523808,106.5,15804.9,4137.7,439.3636363636364,4395.931506849315,2121.245614035088,0.25,1.8,776.6607142857143,5353.486486486487,1.0357142857142858,2946.4545454545455,199.0,39.95454545454545,882.2321428571429,876.6595744680851,2806.0833333333335,465.05,1109.078431372549,1572.6315789473683,1632.344827586207,2267.28,2219.9583333333335,536.5833333333334,327.92,939.0,2605.409090909091,973.95,283.27272727272725,745.125,1232.2083333333333,322.4347826086956,1573.5,280.45,3351.7
3567,852.6666666666666,39.48407643312102,15218.478787878788,11.92156862745098,44.09756097560975,6552.194029850746,0.0,7.683333333333334,693.7017543859649,3.260869565217391,3.2432432432432434,2.212121212121212,1.2727272727272727,6.909090909090909,499.7878787878788,3.875,424.4642857142857,15.37037037037037,1.0769230769230769,116.54545454545455,1566.171052631579,1837.926605504587,1306.4897959183672,707.6944444444445,10474.194444444445,3.942857142857143,5.485714285714286,6.033333333333333,1.8214285714285714,3.2857142857142856,3.08,2.0454545454545454,38.095238095238095,167.6,12631.85,8872.9,459.75324675324674,4308.246575342466,2662.7719298245615,2.55,4.3,926.8392857142857,7148.540540540541,28.214285714285715,2521.181818181818,156.63636363636363,40.68181818181818,927.7678571428571,935.6808510638298,5722.125,1090.9,1219.0392156862745,1718.1052631578948,1982.0,1794.2,2952.25,607.3333333333334,298.0,529.5217391304348,3531.9545454545455,919.15,320.27272727272725,675.84375,1335.125,351.39130434782606,1982.7727272727273,330.45,5300.6
4059,455.5121951219512,0.3853503184713376,6428.872727272727,6.921568627450981,20.195121951219512,2308.6119402985073,0.0,1.8666666666666667,361.3157894736842,0.5217391304347826,0.4594594594594595,0.24242424242424243,1.0606060606060606,2.212121212121212,824.969696969697,0.9375,132.21428571428572,10.814814814814815,1.0,215.5,874.9934210526316,836.954128440367,414.2448979591837,354.44444444444446,4646.694444444444,1.6,0.2857142857142857,1.0666666666666667,0.5,0.32142857142857145,0.8,0.5454545454545454,0.38095238095238093,256.6,3817.1,661.85,210.46753246753246,2031.7945205479452,1266.5263157894738,0.5,0.7,383.32142857142856,3489.7837837837837,0.75,1137.3636363636363,164.6818181818182,17.681818181818183,487.0,390.48936170212767,1586.875,204.05,521.3137254901961,806.3684210526316,1011.6206896551724,749.04,1128.7916666666667,304.5416666666667,145.56,483.1304347826087,1784.1363636363637,474.75,119.45454545454545,403.625,592.9583333333334,181.0,972.6363636363636,189.7,2412.05
4095,823.8333333333334,0.31210191082802546,1548.1151515151514,7.490196078431373,16.085365853658537,4127.268656716418,0.0,4.25,468.6140350877193,0.5217391304347826,1.2432432432432432,1.3333333333333333,2.272727272727273,4.9393939393939394,289.3636363636364,1.375,171.67857142857142,5.7407407407407405,0.9615384615384616,317.3181818181818,1529.907894736842,1529.9174311926606,870.8367346938776,468.9166666666667,6844.722222222223,4.742857142857143,0.9142857142857143,1.7666666666666666,1.2142857142857142,0.9642857142857143,1.04,2.3181818181818183,1.3333333333333333,77.6,2064.2,696.35,444.57142857142856,3062.4246575342468,1934.8245614035088,1.6,1.1,868.4285714285714,5120.135135135135,0.75,2030.1363636363637,227.1818181818182,36.0,817.5178571428571,807.0425531914893,2435.7083333333335,525.55,1134.1176470588234,1241.0526315789473,2245.1724137931033,1200.96,1989.1666666666667,559.25,283.64,584.3913043478261,2608.409090909091,753.9,276.27272727272725,756.65625,1264.0416666666667,339.8695652173913,1414.1363636363637,380.7,3625.4
4137,1051.1707317073171,0.445859872611465,6045.327272727272,10.980392156862745,40.97560975609756,8389.328358208955,0.0,6.066666666666666,798.1929824561404,1.434782608695652,1.2702702702702702,1.5757575757575757,3.090909090909091,4.636363636363637,490.3636363636364,3.53125,362.0357142857143,15.333333333333334,0.5384615384615384,666.0,1600.4868421052631,2421.816513761468,1821.8775510204082,684.0277777777778,12867.833333333334,3.085714285714286,2.257142857142857,3.5,1.75,0.7142857142857143,1.32,1.7272727272727273,4.666666666666667,126.45,4066.5,1600.15,613.8181818181819,2703.849315068493,3255.2105263157896,1.85,0.6,1300.3392857142858,9312.054054054053,3.107142857142857,1717.8181818181818,355.27272727272725,65.95454545454545,1221.6607142857142,1333.468085106383,5930.833333333333,375.35,1811.3529411764705,2052.815789473684,4495.379310344828,963.36,3393.25,676.4583333333334,400.96,468.6521739130435,3756.181818181818,891.9,342.54545454545456,825.0,2210.7083333333335,444.9130434782609,1854.8181818181818,576.85,5023.35
4158,480.7886178861789,0.1337579617834395,12658.115151515152,4.5,12.585365853658537,3659.597014925373,0.0,2.3666666666666667,394.3157894736842,0.9130434782608695,1.5135135135135136,0.5151515151515151,0.9090909090909091,2.3333333333333335,83.45454545454545,1.28125,189.53571428571428,4.888888888888889,0.5384615384615384,128.63636363636363,896.4671052631579,1182.4954128440368,811.2448979591836,395.94444444444446,6990.583333333333,2.1714285714285713,0.22857142857142856,1.7666666666666666,0.5,0.32142857142857145,0.92,0.4090909090909091,1.8095238095238095,26.65,6672.85,1346.65,194.74025974025975,1323.3013698630136,1978.8947368421052,1.4,0.85,555.5178571428571,5115.594594594595,2.0714285714285716,717.0909090909091,104.27272727272727,36.13636363636363,687.6428571428571,419.72340425531917,2326.75,162.65,733.2549019607843,1371.3947368421052,1667.9655172413793,477.2,1919.8333333333333,267.2083333333333,123.16,468.0869565217391,1770.7727272727273,386.1,152.13636363636363,361.625,784.7916666666666,146.95652173913044,1026.0454545454545,200.65,2726.55
4228,960.4349593495934,0.3853503184713376,2491.29696969697,10.911764705882353,12.682926829268293,6276.477611940299,0.0,3.6333333333333333,605.8771929824561,0.6956521739130435,0.6486486486486487,1.2121212121212122,0.5757575757575758,3.212121212121212,1006.6060606060606,0.8125,295.25,11.333333333333334,0.19230769230769232,182.9090909090909,1895.9868421052631,1884.091743119266,1072.408163265306,1011.6388888888889,11834.611111111111,1.457142857142857,0.2571428571428571,0.9,2.392857142857143,0.17857142857142858,2.92,0.0,0.047619047619047616,170.55,2861.0,1718.15,420.5844155844156,3421.7123287671234,2926.8070175438597,44.85,2.35,999.125,7915.243243243243,1.1071428571428572,2075.1363636363635,323.3181818181818,40.0,1063.125,876.2553191489362,4018.7916666666665,731.65,1202.7254901960785,1738.8157894736842,2650.2413793103447,1210.76,2543.7916666666665,557.7083333333334,302.76,693.1739130434783,3794.909090909091,946.25,271.5,819.125,1260.7083333333333,281.0869565217391,2043.6363636363637,331.25,4896.05
4233,619.4715447154472,0.23248407643312102,1091.878787878788,7.696078431372549,25.829268292682926,2623.0298507462685,0.0,1.8333333333333333,326.140350877193,0.15217391304347827,0.5135135135135135,0.06060606060606061,0.30303030303030304,2.6363636363636362,154.3939393939394,0.875,155.14285714285714,3.925925925925926,0.07692307692307693,355.8636363636364,1245.9276315789473,1082.5504587155963,474.7551020408163,580.3055555555555,4823.805555555556,1.9142857142857144,0.11428571428571428,2.933333333333333,0.0,24.392857142857142,0.12,0.18181818181818182,0.09523809523809523,60.4,1304.5,329.9,262.76623376623377,2751.123287671233,1503.2280701754387,0.05,0.05,521.9464285714286,3823.9189189189187,0.10714285714285714,1818.2727272727273,357.90909090909093,19.454545454545453,617.75,445.21276595744683,1595.0833333333333,321.4,587.9803921568628,1038.5,1097.655172413793,986.92,1313.2916666666667,358.1666666666667,149.04,905.8695652173913,1925.4545454545455,525.65,154.0,515.15625,580.4583333333334,224.65217391304347,1145.909090909091,206.55,2552.2
4255,605.3170731707318,0.29936305732484075,5774.709090909091,6.1568627450980395,20.0,7371.223880597015,0.0,4.233333333333333,605.7017543859649,0.8260869565217391,1.4864864864864864,2.3636363636363638,1.0606060606060606,6.0606060606060606,309.90909090909093,1.0625,351.2857142857143,7.62962962962963,0.6923076923076923,297.77272727272725,828.0855263157895,1855.5963302752293,1143.8367346938776,4653.638888888889,15201.527777777777,2.4571428571428573,1.8571428571428572,2.466666666666667,1.9285714285714286,1.0357142857142858,1.44,2.590909090909091,2.6666666666666665,61.55,3876.2,2610.8,294.42857142857144,1330.4520547945206,3120.4736842105262,0.15,0.5,819.5892857142857,9232.486486486487,1.3214285714285714,712.5909090909091,70.27272727272727,41.27272727272727,867.8392857142857,721.9148936170212,6250.416666666667,308.25,1296.5294117647059,2122.7631578947367,1577.2413793103449,444.0,3512.2083333333335,307.0416666666667,173.72,327.95652173913044,3182.0454545454545,472.4,182.4090909090909,350.75,1543.875,181.2608695652174,1590.590909090909,248.35,4555.95
4256,992.3272357723578,0.3535031847133758,9647.139393939395,26.323529411764707,34.548780487804876,8181.686567164179,0.0,5.716666666666667,872.4035087719299,1.3478260869565217,1.972972972972973,1.0,1.8484848484848484,7.878787878787879,648.5151515151515,2.5625,407.39285714285717,12.88888888888889,1.2307692307692308,104.86363636363636,1839.5263157894738,2045.2568807339449,1621.8979591836735,901.8611111111111,11908.5,3.942857142857143,1.2857142857142858,0.4666666666666667,0.7142857142857143,2.392857142857143,1.8,0.8181818181818182,0.8095238095238095,178.15,10709.1,6746.7,555.2467532467532,5268.13698630137,2766.2280701754385,0.15,0.25,1061.357142857143,8245.648648648648,0.7142857142857143,3297.318181818182,202.1818181818182,51.22727272727273,938.4285714285714,1187.787234042553,6190.791666666667,514.8,1792.0980392156862,1774.1315789473683,2406.3793103448274,2074.56,3334.9166666666665,750.3333333333334,362.72,832.6086956521739,3939.409090909091,1075.15,312.3636363636364,932.875,2025.9583333333333,481.39130434782606,2226.0454545454545,382.3,6568.1
