"","BMP2_24_C1","BMP2_24_C2","BMP2_48_C1","BMP2_48_C2","ctrl_0_C1","ctrl_0_C2","EGF_24_C1","EGF_24_C2","EGF_48_C1","EGF_48_C2","HGF_24_C1","HGF_24_C2","HGF_48_C1","HGF_48_C2","IFNG_24_C1","IFNG_24_C2","IFNG_48_C1","IFNG_48_C2","OSM_24_C1","OSM_24_C2","OSM_48_C1","OSM_48_C2","PBS_24_C1","PBS_24_C2","PBS_48_C1","PBS_48_C2","TGFB_24_C1","TGFB_24_C2","TGFB_48_C1","TGFB_48_C2"
"ligand","BMP2","BMP2","BMP2","BMP2","ctrl","ctrl","EGF","EGF","EGF","EGF","HGF","HGF","HGF","HGF","IFNG","IFNG","IFNG","IFNG","OSM","OSM","OSM","OSM","PBS","PBS","PBS","PBS","TGFB","TGFB","TGFB","TGFB"
"experimentalTimePoint","24","24","48","48"," 0"," 0","24","24","48","48","24","24","48","48","24","24","48","48","24","24","48","48","24","24","48","48","24","24","48","48"
"collection","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2","C1","C2"
"Well_Cell_Count","1420.0","1136.0","2935.0","1973.0"," 703.1"," 885.2","1865.0","1455.0","5087.0","3430.0","1475.0","1192.0","2338.0","1920.0","1589.0","1230.0","2614.0","2100.0","1626.0","1373.0","3007.0","2324.0"," 573.3"," 538.9"," 387.8"," 468.9","1445.0","1126.0","2632.0","2038.0"
"Image_Cell_Count","118.30"," 94.62","251.10","164.40"," 59.32"," 73.77","155.40","122.20","449.90","290.10","122.90"," 99.37","200.50","160.00","132.40","102.50","217.80","175.00","135.50","120.20","250.60","193.70"," 47.78"," 44.91"," 32.94"," 39.38","120.40"," 93.84","219.40","169.80"
"Intensity_IntegratedIntensity_EdU",NA," 59450"," 70610"," 72590",NA,NA,NA," 90970"," 93220","107300",NA," 66470"," 46000"," 49240",NA," 69430"," 38400"," 50540",NA," 76630"," 34780"," 56980",NA," 33620"," 33240"," 31690",NA," 69490"," 87210"," 84000"
"Intensity_IntegratedIntensity_OriginalDNA","327100","330100","378500","352600","312900","346500","367500","381300","427100","414500","345400","354700","359400","349300","371800","340900","410400","358900","364800","371800","364500","367800","364900","359500","361700","330700","337300","339800","412900","382100"
"Intensity_LowerQuartileIntensity_EdU",NA,"170.6","155.4","174.1",NA,NA,NA,"252.7","206.8","252.9",NA,"191.7","135.4","146.9",NA,"205.2","121.3","155.3",NA,"228.8","125.1","181.9",NA,"118.6","114.2","116.4",NA,"172.9","177.0","177.6"
"Intensity_LowerQuartileIntensity_OriginalDNA"," 907.6"," 949.0"," 863.7"," 884.7"," 957.9","1022.0","1046.0","1118.0","1014.0","1052.0","1058.0","1059.0","1063.0","1039.0","1122.0","1058.0","1208.0","1084.0","1147.0","1180.0","1278.0","1239.0","1064.0","1132.0","1051.0","1067.0"," 805.1"," 857.9"," 852.2"," 822.7"
"Intensity_MaxIntensity_EdU",NA,"237.7","211.9","246.0",NA,NA,NA,"399.7","314.5","401.6",NA,"294.0","179.6","199.5",NA,"318.5","150.0","220.0",NA,"389.1","156.8","283.1",NA,"136.0","124.8","130.7",NA,"247.3","258.6","256.9"
